genes,cidx,yeastvalues_ 1,yeastvalues_ 2,yeastvalues_ 3,yeastvalues_ 4,yeastvalues_ 5,yeastvalues_ 6,yeastvalues_ 7,yeastvalues_ 8,yeastvalues_ 9,yeastvalues_10,yeastvalues_11,yeastvalues_12,yeastvalues_13,yeastvalues_14,yeastvalues_15,yeastvalues_16,yeastvalues_17,yeastvalues_18
YBR188C,1,-0.22,1.72,-0.44,0.21,-0.31,-0.13,0.05,-0.17,-0.28,-0.29,-0.57,-0.02,0.02,0,-0.26,0.32,0.21,0.16
YBR217W,14,-0.2,-0.1,-0.03,-0.26,-0.28,-0.01,-0.13,0,-0.42,0.15,1.59,-0.1,-0.3,-0.22,-0.11,0.29,-0.06,0.17
YBR230C,2,-0.2,0.57,0.92,0.35,-0.16,-0.57,-0.37,-0.35,-0.5,-0.17,-0.32,-0.17,-0.2,2.45,-0.39,-0.5,-0.03,-0.37
YCL027W,9,2.47,0.3,-0.43,-0.12,-0.55,-0.19,-0.51,-0.22,-1.06,-0.11,0.42,0.23,0.08,-0.12,-0.59,0.54,-0.22,0.08
YCL040W,5,-0.14,1.34,1.69,1.07,0.47,-0.35,-0.38,-0.96,-0.68,-0.27,-0.12,0.07,0.16,-0.72,-0.24,-0.31,-0.16,-0.46
YCL055W,9,2.95,0.45,-0.4,-0.66,-0.59,-0.38,-0.76,-0.57,-0.47,-0.38,0.4,0.36,0.22,0.13,-0.09,0.21,-0.32,-0.09
YCL064C,13,-0.58,-1.76,-0.94,-0.62,0.18,0.15,0.75,0.27,0.72,0.34,0.27,-0.14,0.16,0,0.33,0.19,0.37,0.3
YCLX07W,9,2.23,0.66,-0.32,-0.37,-0.67,0.09,-0.83,-0.46,-0.28,0.1,0.13,0.23,-0.14,-0.2,-0.33,0.18,0.1,-0.11
YCR089W,9,1.79,1.38,0.14,-0.49,-0.7,-0.3,-0.58,-0.23,-0.24,0.12,0.25,-0.15,-0.24,-0.32,-0.23,0.27,-0.3,-0.17
YDL023C,4,0.98,1.61,1.22,-0.04,-0.19,0,-0.16,-0.42,-0.68,-0.29,-0.14,-0.57,-0.32,-0.37,0.09,-0.07,-0.17,-0.46
YDL037C,4,2.38,1.45,0.69,-0.26,-0.37,-0.29,0.09,0.03,-0.05,-0.51,-0.47,-0.89,-0.19,-0.08,-0.7,-0.56,-0.22,-0.03
YDL039C,4,1.81,1.03,0.48,-0.4,-0.04,-0.3,0.05,0.29,0.14,-0.42,-0.01,-1,-0.08,-0.24,-0.17,-0.36,-0.32,-0.48
YDL127W,9,1.83,-0.5,-0.24,-0.26,-0.26,0.1,-0.32,-1.03,-0.83,0.64,0.92,0.74,0.46,0.14,-0.22,-0.5,-0.28,-0.39
YDL179W,14,-0.99,-0.24,-0.74,-0.44,-0.67,-0.01,-0.95,-0.39,-0.44,1.14,1.99,0.87,0.36,0.28,-0.07,0.16,-0.05,0.2
YDR055W,14,-0.14,0.15,-0.59,-1.46,-0.5,-1.38,-0.46,-1.17,-0.72,1.56,2.23,1.38,1.12,0.15,0.15,-0.14,-0.68,0.52
